,State,County,UID,iso2,iso3,code3,FIPS,Country,Lat,Long_,Combined_Key,Date,ConfirmedCases
495264,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-18,8574
498606,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-19,8609
501948,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-20,8646
505290,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-21,8682
508632,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-22,8715
511974,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-23,8736
515316,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-24,8780
518658,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-25,8825
522000,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-26,8879
525342,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-27,8919
528684,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-28,8951
532026,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-29,8993
535368,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-06-30,9032
538710,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-01,9083
542052,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-02,9145
545394,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-03,9192
548736,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-04,9267
552078,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-05,9311
555420,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-06,9364
558762,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-07,9392
562104,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-08,9454
565446,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-09,9502
568788,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-10,9571
572130,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-11,9641
575472,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-12,9719
578814,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-13,9794
582156,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-14,9810
585498,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-15,9867
588840,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-16,9917
592182,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-17,10013
595524,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-18,10107
598866,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-19,10196
602208,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-20,10317
605550,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-21,10414
608892,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-22,10531
612234,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-23,10627
615576,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-24,10701
618918,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-25,10771
622260,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-26,10875
625602,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-27,10953
628944,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-28,11005
632286,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-29,11084
635628,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-30,11177
638970,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-07-31,11267
642312,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-01,11380
645654,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-02,11470
648996,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-03,11558
652338,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-04,11689
655680,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-05,11804
659022,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-06,11926
662364,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-07,12021
665706,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-08,12155
669048,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-09,12233
672390,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-10,12312
675732,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-11,12427
679074,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-12,12511
682416,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-13,12592
685758,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-14,12693
689100,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-15,12815
692442,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-16,12892
695784,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-17,13032
699126,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-18,13151
702468,Illinois,DuPage,84017043,US,USA,840,17043.0,US,41.85116968,-88.08642662,"DuPage, Illinois, US",2020-08-19,13289
