,date,ConfirmedCases,DailyCases,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation,Population
421740,2020-05-27,7350,60.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
425082,2020-05-28,7460,110.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
428424,2020-05-29,7543,83.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
431766,2020-05-30,7620,77.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
435108,2020-05-31,7707,87.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
438450,2020-06-01,7765,58.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
441792,2020-06-02,7818,53.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
445134,2020-06-03,7891,73.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
448476,2020-06-04,7939,48.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
451818,2020-06-05,7997,58.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
455160,2020-06-06,8046,49.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
458502,2020-06-07,8111,65.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
461844,2020-06-08,8157,46.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
465186,2020-06-09,8215,58.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
468528,2020-06-10,8255,40.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
471870,2020-06-11,8311,56.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
